"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1502",1502,0,0,1,1,1,1,3,3,1,1,3,3
"2013",2013,2,2,1,1,0,0,3,3,1,1,3,3
"2698",2698,0,0,2,2,1,1,2,2,0,0,2,2
"2754",2754,0,0,2,2,1,1,0,0,0,0,3,3
"3074",3074,2,2,2,2,1,1,0,0,0,0,0,0
"3117",3117,2,2,2,2,0,0,3,3,2,2,0,0
"3129",3129,2,2,2,2,0,0,2,2,3,3,0,0
"3133",3133,2,2,2,2,0,0,3,3,3,3,0,0
"3134",3134,2,2,2,2,1,1,3,3,3,3,0,0
"3138",3138,2,2,2,2,1,1,0,0,0,0,1,1
"3145",3145,2,2,2,2,0,0,2,2,0,0,1,1
"3181",3181,2,2,2,2,0,0,3,3,2,2,1,1
"3193",3193,2,2,2,2,0,0,2,2,3,3,1,1
"3197",3197,2,2,2,2,0,0,3,3,3,3,1,1
"3198",3198,2,2,2,2,1,1,3,3,3,3,1,1
"3202",3202,2,2,2,2,1,1,0,0,0,0,2,2
"3257",3257,2,2,2,2,0,0,2,2,3,3,2,2
"3261",3261,2,2,2,2,0,0,3,3,3,3,2,2
"3262",3262,2,2,2,2,1,1,3,3,3,3,2,2
"3298",3298,2,2,2,2,1,1,0,0,2,2,3,3
"3309",3309,2,2,2,2,0,0,3,3,2,2,3,3
"3314",3314,2,2,2,2,1,1,0,0,3,3,3,3
