"","X1","X2","X3","X4","X5","X6","X7","X8"
"6395",1,1,2,9,1,9,2,9
"6396",1,2,2,9,1,9,2,9
"6398",2,2,2,9,1,9,2,9
"6507",2,9,0,2,2,9,2,9
"6514",1,9,0,9,2,9,2,9
"6516",2,9,0,9,2,9,2,9
"6541",1,9,1,9,2,9,2,9
"6543",2,9,1,9,2,9,2,9
"6551",2,2,2,2,2,9,2,9
"6557",1,1,2,9,2,9,2,9
"6558",1,2,2,9,2,9,2,9
"6560",2,2,2,9,2,9,2,9
