Data,Indicador IPEA de FBCF - índice (média1995 = 100) - - - Instituto de Pesquisa Econômica Aplicada - GAC12_INDFBCF12,
1996.01,82.5812239914226,
1996.02,92.7391780639662,
1996.03,103.412597944611,
1996.04,99.4164262333676,
1996.05,103.287235549931,
1996.06,100.839338216699,
1996.07,108.897423033125,
1996.08,105.897243641958,
1996.09,100.985333324917,
1996.10,105.394512168454,
1996.11,103.701453180007,
1996.12,107.197034651536,
1997.01,94.3590581253715,
1997.02,104.633211237519,
1997.03,111.129730637109,
1997.04,114.545209300096,
1997.05,107.564621538923,
1997.06,113.90816916098,
1997.07,118.959692479471,
1997.08,108.899134947925,
1997.09,114.795172572605,
1997.10,113.497151200613,
1997.11,106.945566843864,
1997.12,107.33428195552,
1998.01,103.025357740595,
1998.02,99.34290871858,
1998.03,118.571733540824,
1998.04,113.932980610091,
1998.05,115.538763708543,
1998.06,113.770255681367,
1998.07,118.133701285362,
1998.08,106.857668670011,
1998.09,113.522630044628,
1998.10,107.998392250488,
1998.11,104.585530561754,
1998.12,99.1340771877587,
1999.01,93.7901890907698,
1999.02,95.3766932472708,
1999.03,104.82111766196,
1999.04,96.649560562075,
1999.05,103.052655978763,
1999.06,107.839783459162,
1999.07,100.186844883004,
1999.08,100.690026816011,
1999.09,99.2191283009885,
1999.10,98.0048208150634,
1999.11,99.0387594734527,
1999.12,99.0894197114813,
2000.01,88.7682553263058,
2000.02,100.166134570866,
2000.03,104.150610102827,
2000.04,101.437239745851,
2000.05,110.053635724558,
2000.06,108.051124529589,
2000.07,105.218528992415,
2000.08,110.372825567822,
2000.09,104.892645439761,
2000.10,105.105585661165,
2000.11,109.162665889352,
2000.12,108.021748449482,
2001.01,105.974766410177,
2001.02,102.380913560702,
2001.03,114.75632002912,
2001.04,106.199027146273,
2001.05,115.48789433601,
2001.06,104.365078517716,
2001.07,109.873574847991,
2001.08,112.401751262699,
2001.09,102.036673889309,
2001.10,103.840069404877,
2001.11,99.6293011533746,
2001.12,94.8386294417505,
2002.01,95.561097890695,
2002.02,94.4843131992917,
2002.03,107.45258891001,
2002.04,106.787340333383,
2002.05,105.031906934057,
2002.06,100.288752732558,
2002.07,110.933586114182,
2002.08,106.045785912911,
2002.09,105.865627972908,
2002.10,108.538671382094,
2002.11,105.913417580894,
2002.12,106.517911037013,
2003.01,105.42145314906,
2003.02,101.340529019884,
2003.03,100.024017831057,
2003.04,100.326890240984,
2003.05,96.8773723748109,
2003.06,93.5947373842034,
2003.07,98.6944160279405,
2003.08,98.0268414511435,
2003.09,103.893742520916,
2003.10,105.471610155971,
2003.11,103.326595572924,
2003.12,96.475794271104,
2004.01,97.9303015664151,
2004.02,98.3497020447152,
2004.03,113.298996388871,
2004.04,108.352783286795,
2004.05,108.753869340253,
2004.06,108.417347372953,
2004.07,113.493829101112,
2004.08,114.956087580857,
2004.09,114.789083318026,
2004.10,108.511590673632,
2004.11,116.76162210318,
2004.12,101.999787223186,
2005.01,103.160805982363,
2005.02,99.101809473058,
2005.03,111.540384544578,
2005.04,107.555989547946,
2005.05,112.684726183792,
2005.06,115.204284268262,
2005.07,111.324155347464,
2005.08,119.520711469043,
2005.09,115.364133183491,
2005.10,110.422452032985,
2005.11,113.981204766479,
2005.12,111.296343200538,
2006.01,110.214591602817,
2006.02,107.444195414699,
2006.03,123.753212982484,
2006.04,109.068535857276,
2006.05,121.278095034187,
2006.06,117.191369108538,
2006.07,120.903477386245,
2006.08,125.255910166791,
2006.09,119.975612446965,
2006.10,123.686092289093,
2006.11,123.616687221924,
2006.12,117.437220488984,
2007.01,119.850100034496,
2007.02,115.740900122593,
2007.03,130.402999842909,
2007.04,123.51977199868,
2007.05,136.109477570776,
2007.06,131.123750430544,
2007.07,138.414086365288,
2007.08,146.493052628158,
2007.09,133.325861006553,
2007.10,144.094318958712,
2007.11,139.121884439591,
2007.12,131.329796601696,
2008.01,136.781711284125,
2008.02,132.716125938875,
2008.03,140.518162776999,
2008.04,143.707429191176,
2008.05,148.488536136468,
2008.06,151.837034672356,
2008.07,164.211446799282,
2008.08,166.975946173407,
2008.09,162.13560702731,
2008.10,169.007569821584,
2008.11,142.061481053964,
2008.12,126.390949124448,
2009.01,121.498297068191,
2009.02,115.457227735951,
2009.03,134.147475195861,
2009.04,128.870154849038,
2009.05,137.643508240032,
2009.06,140.724336910928,
2009.07,152.463812389691,
2009.08,158.965991526913,
2009.09,162.873196083395,
2009.10,169.012707308694,
2009.11,166.071066973612,
2009.12,159.016225717694,
2010.01,152.789735461684,
2010.02,151.016182087748,
2010.03,174.919082450569,
2010.04,160.469733724081,
2010.05,169.890194370756,
2010.06,170.235071905158,
2010.07,175.52287547056,
2010.08,184.767496542328,
2010.09,186.390627987112,
2010.10,179.095211318418,
2010.11,182.977383169824,
2010.12,170.535405511755,
2011.01,163.574414736798,
2011.02,173.289224093228,
2011.03,181.251361169969,
2011.04,170.42924948863,
2011.05,189.679480393792,
2011.06,181.193270117578,
2011.07,188.63835016117,
2011.08,199.544660443336,
2011.09,189.985989395491,
2011.10,188.334787379609,
2011.11,191.177032882272,
2011.12,182.193179738117,
2012.01,172.479595417407,
2012.02,173.875283747754,
2012.03,188.041120834836,
2012.04,176.421927746319,
2012.05,191.279334236661,
2012.06,179.621738017018,
2012.07,186.930609928699,
2012.08,198.01551954291,
2012.09,184.636870528389,
2012.10,198.702055866439,
2012.11,189.918758608579,
2012.12,176.501185524984,
2013.01,181.648477585226,
2013.02,177.402631725049,
2013.03,191.130890689721,
2013.04,202.377240843953,
2013.05,199.231755805089,
2013.06,192.172003350953,
2013.07,198.594072835635,
2013.08,207.736115187688,
2013.09,205.105811976674,
2013.10,214.12036451236,
2013.11,200.159458060969,
2013.12,175.895177426668,
2014.01,192.909740315204,
2014.02,190.758309357643,
2014.03,189.415950327151,
2014.04,188.231760479214,
2014.05,192.728218554275,
2014.06,174.847020966509,
2014.07,184.202560921653,
2014.08,188.311352289755,
2014.09,193.385086788589,
2014.10,200.083809174483,
2014.11,187.103562413571,
2014.12,164.521628411948,
2015.01,173.243827925052,
2015.02,164.84094911972,
2015.03,180.915222955226,
2015.04,165.621195379052,
2015.05,166.720915980926,
2015.06,155.340888640022,
2015.07,164.18829880284,
2015.08,160.752355416228,
2015.09,156.520345780927,
2015.10,161.545882035619,
2015.11,154.205382933454,
2015.12,129.295735030926,
2016.01,141.017252876607,
2016.02,135.184011727822,
2016.03,145.575292643095,
2016.04,138.996047710941,
2016.05,141.53627627063,
2016.06,154.955879256593,
2016.07,140.896051078195,
2016.08,146.806119830105,
2016.09,142.765083191701,
2016.10,143.329042032927,
2016.11,137.065336893137,
2016.12,130.568892673936,
2017.01,130.547095057114,
2017.02,129.450135835097,
2017.03,139.31633180779,
2017.04,126.59091160247,
2017.05,139.068693818691,
2017.06,136.42881627884,
2017.07,136.056502758254,
2017.08,147.922018389586,
2017.09,142.418005652163,
2017.10,148.625313680615,
2017.11,145.199503849683,
2017.12,133.633626769702,
2018.01,135.030235239734,
2018.02,134.076840628103,
2018.03,144.165261232157,
2018.04,143.4344800372,
2018.05,133.028452854386,
2018.06,142.00116040842,
2018.07,158.772933869597,
2018.08,159.723762349008,
2018.09,147.187746581397,
2018.10,160.140345550324,
2018.11,151.736270507742,
2018.12,132.558509941933,
2019.01,139.236832422358,
2019.02,142.83564565079,
2019.03,140.957958726855,
2019.04,146.049365050786,
2019.05,156.117265663042,
2019.06,143.89954338617,
2019.07,160.36104117773,
2019.08,162.685130872577,
2019.09,161.765985749699,
2019.10,165.243961777039,
2019.11,150.383784791331,
2019.12,130.917361331632,
2020.01,159.270653704211,
2020.02,149.26056165664,
2020.03,139.754670139155,
2020.04,100.162930597896,
2020.05,151.007435474419,
2020.06,132.871527427683,
2020.07,145.834789776725,
2020.08,146.720964168561,
2020.09,154.653780454718,
2020.10,159.842742485477,
2020.11,157.408069957333,
2020.12,189.681884057189,
2021.01,176.102694407439,
2021.02,163.315226237838,
2021.03,184.983213954728,
2021.04,159.196726318947,
2021.05,180.605893849468,
2021.06,170.412127931585,
