"CD_CVM","DENOM_SOCIAL","DENOM_COMERC","DT_INI_CATEG"
"2144","RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA","LE LIS BLANC DEUX","01/01/2010"
"1836","RIO PARANAPANEMA ENERGIA SA","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","01/01/2010"
"1836","RIO PARANAPANEMA ENERGIA SA","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","01/01/2010"
"2045","RNI NEGÓCIOS IMOBILIÁRIOS S.A.","RODOBENS NEGOCIOS IMOBILIARIOS SA","01/01/2010"
"1630","ROSSI RESIDENCIAL SA","ROSSI RESIDENCIAL","01/01/2010"
"1745","RUMO S.A.","ALL - AMÉRICA LATINA LOGÍSTICA S.A.","01/01/2010"
"1745","RUMO S.A.","ALL - AMÉRICA LATINA LOGÍSTICA S.A.","01/01/2010"
"1269","SANSUY SA INDÚSTRIA  DE PLASTICOS","SANSUY S.A. INDÚSTRIA DE PLÁSTICOS","01/01/2010"
"1789","SANTOS BRASIL PARTICIPAÇÕES S.A.","SANTOS BRASIL PARTICIPAÇÕES S.A.","01/01/2010"
"1789","SANTOS BRASIL PARTICIPAÇÕES S.A.","SANTOS BRASIL PARTICIPAÇÕES S.A.","01/01/2010"
"2051","SÃO MARTINHO SA","SÃO MARTINHO SA","01/01/2010"
"1047","SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL","EDITORA SARAIVA","01/01/2010"
"1466","SCHULZ SA","SCHULZ","01/01/2010"
"2322","SER EDUCACIONAL S.A.",NA,"27/08/2013"
"2279","SINQIA S.A.","SINQUIA S.A.","26/04/2012"
"2279","SINQIA S.A.","SINQUIA S.A.","26/04/2012"
"2074","SLC AGRICOLA SA","SLC AGRICOLA SA","01/01/2010"
"2255","SOMOS EDUCAÇÃO S.A.","ABRIL EDUCAÇÃO S/A","22/07/2011"
"2096","SPRINGS GLOBAL PARTICIPAÇÕES S/A","SPRINGS GLOBAL","01/01/2010"
"1398","SUZANO S.A.","SUZANO PAPEL E CELULOSE SA","01/01/2010"
"2245","T4F ENTRETENIMENTO SA","T4F ENTRETENIMENTO SA","11/04/2011"
"1413","TEC TOY S/A","TEC TOY","01/01/2010"
"2251","TECHNOS SA","TECHNOS SA","28/06/2011"
"2043","TECNISA S/A","TECNISA S/A","01/01/2010"
"2043","TECNISA S/A","TECNISA S/A","01/01/2010"
"2080","TEGMA GESTÃO LOGÍSTICA SA","TEGMA GESTÃO LOGÍSTICA SA","01/01/2010"
"1122","TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","TEKA S.A.","01/01/2010"
"1123","TEKNO S.A. INDÚSTRIA E COMÉRCIO","TEKNO","01/01/2010"
"1767","TELEFÔNICA BRASIL S.A.","TELEFÔNICA BRASIL","01/01/2010"
"1991","TEMPO PARTICIPAÇOES S/A","TEMPO PARTICIPAÇOES S/A","01/01/2010"
"2213","TEREOS INTERNACIONAL S/A","TEREOS INTERNACIONAL S/A","11/08/2010"
"2035","TERRA SANTA AGRO S.A.","TERRA SANTA AGRO S.A.","01/01/2010"
"2492","TIM S.A.","TIM S.A.","01/11/2019"
"1999","TOTVS S.A","TOTVS S.A","01/01/2010"
"1933","TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","TPI","01/01/2010"
"2025","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","01/01/2010"
"2025","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","01/01/2010"
"2113","TRISUL S/A","TRISUL","01/01/2010"
"2113","TRISUL S/A","TRISUL","01/01/2010"
"1139","TRONOX PIGMENTOS DO BRASIL S.A.","MILLENNIUM INORGANIC CHEMICALS DO BRASIL","01/01/2010"
"1846","ULTRAPAR PARTICIPAÇÕES SA","ULTRAPAR PARTICIPAÇÕES SA","01/01/2010"
"1159","UNIPAR CARBOCLORO S.A.","UNIPAR CARBOCLORO S.A.","01/01/2010"
"1159","UNIPAR CARBOCLORO S.A.","UNIPAR CARBOCLORO S.A.","01/01/2010"
"2002","VALID SOLUÇÕES S.A.","AMERICAN BANKNOTE COMPANY","01/01/2010"
"2070","VIVER INCORP. E CONSTRUTORA S.A.- EM RECUPERAÇÃO JUDICIAL","VIVER","01/01/2010"
"1176","VULCABRAS S.A.","VULCABRAS S/A.","01/01/2010"
"1199","WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","01/01/2010"
"1434","WHIRLPOOL S.A","WHIRLPOOL S.A","01/01/2010"
"2101","YDUQS PARTICIPACOES S.A.","ESTACIO PARTICIPAÇÕES SA","01/01/2010"
"2101","YDUQS PARTICIPACOES S.A.","ESTACIO PARTICIPAÇÕES SA","01/01/2010"
