setor_economatica,ano,vsum
Software e Dados,2018,3138331097.53
Software e Dados,2019,3073290297.85
Telecomunicacoes,2010,67448684400.0
Telecomunicacoes,2011,86772826619.0
Telecomunicacoes,2012,115106591066.0
Telecomunicacoes,2013,115941691395.0
Telecomunicacoes,2014,108540065445.0
Telecomunicacoes,2015,100483315569.0
Telecomunicacoes,2016,93805890720.0
Telecomunicacoes,2017,90154216680.0
Telecomunicacoes,2018,86141033137.0
Telecomunicacoes,2019,81861651844.0
Textil,2010,27878240966.886
Textil,2011,25627552122.93
Textil,2012,27752393605.04
Textil,2013,29374876543.54
Textil,2014,29203754986.219997
Textil,2015,27981630812.33
Textil,2016,27020367804.02
Textil,2017,27132992878.71
Textil,2018,24147353368.54
Textil,2019,23514048067.27
Transporte e Servicoes,2010,35485418194.88
Transporte e Servicoes,2011,38425395834.2
Transporte e Servicoes,2012,42911692049.9
Transporte e Servicoes,2013,47483057183.3
Transporte e Servicoes,2014,50757685701.2
Transporte e Servicoes,2015,51701367893.4
Transporte e Servicoes,2016,45406478352.77
Transporte e Servicoes,2017,42931027552.770004
Transporte e Servicoes,2018,42425051984.950005
Transporte e Servicoes,2019,44706844858.67
Veiculos e Pecas,2010,40524209208.423996
Veiculos e Pecas,2011,43041152412.553
Veiculos e Pecas,2012,48910796416.073
Veiculos e Pecas,2013,51222203176.753
Veiculos e Pecas,2014,48138871862.186714
Veiculos e Pecas,2015,49223694400.659996
Veiculos e Pecas,2016,45510807527.87672
Veiculos e Pecas,2017,43354930999.052
Veiculos e Pecas,2018,48888591296.2255
Veiculos e Pecas,2019,40645440664.659996
